Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2020-01-17,382.2,384.8,392,382.2,4.6,-1.18
2020-01-16,390.4,389.4,390.4,377.6,4.77,-0.26
2020-01-15,385,390.4,393.6,382.2,6.22,1.4
2020-01-14,376,385,386.8,369.2,8.45,1.96
2020-01-13,383,377.6,385.8,375,6.16,-1.56
2020-01-10,402,383.6,405,382.4,5.83,-4.1
2020-01-09,397.6,400,404.8,395.8,9.3,1.94
2020-01-08,393.4,392.4,394,387,3.41,0.1
2020-01-07,396,392,398.2,389,5.18,-1.11
2020-01-03,385,396.4,396.4,385,6.74,0.51
2020-01-02,385,394.4,397.8,385,5,1.28
2019-12-31,389.4,389.4,389.4,389.4,0,0
2019-12-30,387.2,389.4,392,387.2,8.32,0.31
2019-12-27,390,388.2,392,384,3.27,-0.41
2019-12-24,389.8,389.8,389.8,389.8,0,0
2019-12-23,373,389.8,389.8,373,8.93,4.17
2019-12-20,368.6,374.2,379.8,366,21.47,-0.48
2019-12-19,371.8,376,376,370.6,5.16,1.13
2019-12-18,369.6,371.8,371.8,363.2,6.58,0.98
2019-12-17,373.8,368.2,374.2,364.4,7.71,0.22
2019-12-16,383,367.4,384.8,363.6,5.05,-3.52
2019-12-13,375,380.8,381.8,372,5.58,2.64
2019-12-12,358.4,371,371.6,358.4,5.71,3.06
2019-12-11,365.6,360,371,359.8,3.13,-2.12
2019-12-10,361.4,367.8,368,353.6,2.98,3.61
2019-12-09,351,355,358.6,347.2,4.07,0.45
2019-12-06,357.6,353.4,364.4,353.2,4.52,-0.39
2019-12-05,358.2,354.8,362.4,352.6,5.99,-0.95
2019-12-04,355.4,358.2,368.4,355.4,5.43,0.06
2019-12-03,361,358,369.4,357.4,3.75,-1.1
2019-12-02,379.4,362,379.4,359.8,5.21,-2.74
2019-11-29,368,372.2,376.4,367,4.16,-0.43
2019-11-28,372.2,373.8,379,370.2,3.58,-0.16
2019-11-27,380,374.4,385,371.4,5.39,-1.78
2019-11-26,383.8,381.2,388.2,378.6,21.88,-1.75
2019-11-25,390,388,390,385.6,4.3,-0.31
2019-11-22,380,389.2,390,380,6.17,1.25
2019-11-21,379,384.4,387.4,379,9.08,-0.67
2019-11-20,381,387,387,381,4.61,1.47
2019-11-19,389,381.4,392.6,379.8,4.51,-2.26
2019-11-18,389,390.2,390.4,385.8,6,0.46
2019-11-15,381.8,388.4,388.4,380,4.27,1.46
2019-11-14,393.6,382.8,395,381.2,7.75,-1.24
2019-11-13,394,387.6,394,385.2,6.9,0.26
2019-11-12,380.2,386.6,393.6,378,12.17,0.99
2019-11-08,390.8,382.8,390.8,381.4,7.97,-2.05
2019-11-07,395.4,390.8,397.2,388.4,14.94,-0.41
2019-11-06,398.8,392.4,398.8,392.2,11.85,-1.65
2019-11-05,394.4,399,399,390.4,14.3,1.17
2019-11-04,385,394.4,398.4,385,16.23,3.3
2019-10-31,384.2,381.8,384.8,380,13.85,0.79
2019-10-30,373,378.8,379.4,370,5.92,2.32
2019-10-29,380,370.2,380,369.8,7.06,-2.17
2019-10-28,369.8,378.4,378.8,365,6.7,2.94
2019-10-25,373.8,367.6,378.6,367.4,5.58,-2.44
2019-10-24,382,376.8,382,373.6,10.29,-0.89
2019-10-23,382.8,380.2,382.8,376.6,12.41,-0.05
2019-10-22,378,380.4,382,373,9.36,1.44
2019-10-21,378.8,375,385,372.6,8.77,-0.85
2019-10-18,385,378.2,385,373.8,12.11,-1.77
2019-10-17,388.2,385,395,382,25.84,-0.47
2019-10-16,376.8,386.8,388.6,369.2,11.67,2.65
2019-10-15,367,376.8,379,365.6,10.04,3.46
2019-10-14,358,364.2,372,356.2,13.85,0.05
2019-10-11,355,364,367.2,352,8.82,2.36
2019-10-10,349.6,355.6,359.2,345.2,8.56,1.02
2019-10-09,352,352,357,351,6.92,0.06
2019-10-08,341.6,351.8,351.8,337.6,12.14,2.27
2019-10-07,348.6,344,351,338.4,6.53,-0.81
2019-10-04,348.4,346.8,351,342,11.51,-0.52
2019-10-03,341.6,348.6,368.8,323.2,26.52,2.05
2019-10-02,345,341.6,345.8,338.4,8.93,-0.99
2019-10-01,350,345,350,336.6,9.71,-0.75
2019-09-30,363,347.6,365,341.6,9.27,-4.24
2019-09-27,340,363,371,331.8,20.72,6.76
2019-09-26,342.4,340,348,337,14.28,-0.12
2019-09-25,345.8,340.4,346.8,335.6,18.34,-0.76
2019-09-24,330,343,348,328.2,32.23,4.57
2019-09-23,316.8,328,330.8,309.6,9.59,3.54
2019-09-20,316.4,316.8,321.8,306,23.99,-0.69
2019-09-19,318.4,319,323.6,318.4,2.66,-0.75
2019-09-18,328.8,321.4,328.8,318.8,4.27,-1.71
2019-09-17,326,327,329,320.6,5.12,-0.61
2019-09-16,327.6,329,331.8,325.8,7.42,0.43
2019-09-13,330,327.6,340.2,322.8,8.33,-0.97
2019-09-12,324,330.8,334,320.6,8.99,2.99
2019-09-11,325,321.2,329,318.2,3.73,-1.05
2019-09-10,328.4,324.6,328.4,322,3.98,-0.43
2019-09-09,315.8,326,326.8,312,3.38,4.96
2019-09-06,313,310.6,317,310,4.53,-2.33
2019-09-05,318,318,320.2,308.2,3.92,0.7
2019-09-04,318,315.8,322,313,6.56,-2.89
2019-09-02,324.2,325.2,325.4,321.4,1.26,0.81
2019-08-30,315,322.6,325,315,7.07,1.38
2019-08-29,311,318.2,324,310.4,17.8,2.32
2019-08-28,329,311,333.2,306,18.36,-5.59
2019-08-27,322.2,329.4,335.4,321.6,19.18,0.37
2019-08-26,320,328.2,329.2,320,4.03,0.8
2019-08-23,338.6,325.6,338.6,324.6,6.13,-1.33
2019-08-22,327.2,330,332.2,321.2,7.06,1.41
2019-08-21,328.2,325.4,337.8,323.4,11.28,-1.15
2019-08-20,315.6,329.2,334.8,312,9.06,3.85
2019-08-19,305,317,319,305,8.25,4.55
2019-08-16,314,303.2,314,300.8,8.24,-2.19
2019-08-14,323,310,333,310,18.8,-4.02
2019-08-13,310.2,323,326,306.2,8.49,3.53
2019-08-12,317.4,312,318.8,309.8,2.76,-2.13
2019-08-09,325.6,318.8,325.6,315.6,5.27,-1.79
2019-08-08,330.2,324.6,335,322.6,6.64,-1.64
2019-08-07,324.6,330,333,322.4,11.77,1.66
2019-08-06,327.4,324.6,328,311.6,14.1,0.37
2019-08-05,336,323.4,340.6,323.2,9.37,-4.49
2019-08-02,345.6,338.6,345.6,338,4.35,-2.98
2019-08-01,353,349,354,345,5.92,-0.11
2019-07-31,359.2,349.4,359.4,349,10.53,-3.48
2019-07-30,362.4,362,363.2,359,3.6,-0.11
2019-07-29,368,362.4,368,360.4,3.82,-0.49
2019-07-26,366,364.2,370.4,357.8,14.65,-0.38
2019-07-25,376,365.6,379.6,364.4,14.67,-2.25
2019-07-24,377.8,374,377.8,372.8,6.98,-0.48
2019-07-23,378,375.8,379.2,373.8,12.4,-0.32
2019-07-22,384,377,384,372.4,7.1,-0.79
2019-07-19,381.6,380,382.2,376,13.43,0.37
2019-07-18,389,378.6,391.2,377.2,23.56,-3.76
2019-07-17,398.6,393.4,398.6,391.4,8.28,-1.3
2019-07-16,405,398.6,405,397.6,8.89,-0.6
2019-07-15,402,401,405,398,17.58,0
2019-07-12,400,401,403.6,395,4.43,-0.74
2019-07-11,407,404,407,400.6,8.06,-0.64
2019-07-10,407.6,406.6,410.4,406.6,8.39,-0.68
2019-07-09,410,409.4,410,407,4.09,-0.15
2019-07-08,408,410,411.8,407,5.02,-0.34
2019-07-05,417,411.4,417,408,5.3,-1.34
2019-07-04,423,417,426,414.6,5.42,-2.2
2019-07-03,420,426.4,429.8,419,4.9,-0.61
2019-07-02,431,429,432,421.2,5.23,0.7
2019-07-01,435,426,435,424,4.08,-0.93
2019-06-28,430,430,434.2,430,5.39,-1.15
2019-06-27,425.2,435,435,425.2,6.54,2.26
2019-06-26,425,425.4,428.8,422.2,6.19,0.24
2019-06-25,430.4,424.4,431.6,418.2,3.76,-1.12
2019-06-24,424.4,429.2,435,423.6,3.44,0.89
2019-06-21,432.2,425.4,439,421,26.91,-0.09
2019-06-19,421.6,425.8,428,420,4.14,0.19
2019-06-18,422.2,425,425.4,418.4,6.11,1.19
2019-06-17,429,420,429.6,416,6,-2.82
2019-06-14,434.6,432.2,440,429.8,5.83,-0.96
2019-06-13,429.8,436.4,440,429,11.1,1.96
2019-06-12,425.4,428,429.4,415.8,7.32,0.9
2019-06-11,430,424.2,430,415,4.28,0.19
2019-06-10,424.8,423.4,428.8,418.2,4.65,-0.75
2019-06-07,420,426.6,429,417.4,3.13,1.43
2019-06-06,406,420.6,423.8,400,8.84,4.37
2019-06-05,398,403,405.6,392,4.74,0.6
2019-06-04,404.2,400.6,407.8,397.8,3.42,-0.1
2019-06-03,409,401,409,395.6,3.94,-0.4
2019-05-31,397.4,402.6,408.6,396,6.55,-0.74
2019-05-30,398,405.6,409,395.8,4.37,1.76
2019-05-29,389,398.6,398.8,386,6.08,-0.3
2019-05-28,393.2,399.8,402.4,388.2,24.36,1.32
2019-05-27,388.8,394.6,396,383.8,2.25,1.08
2019-05-24,386.2,390.4,390.4,380.8,6.18,1.4
2019-05-23,406,385,406,382.4,5.89,-5.13
2019-05-22,393.4,405.8,407.4,387,7.2,2.99
2019-05-21,385,394,395,379,9.89,2.93
2019-05-20,385.8,382.8,386.4,374,4.28,-0.67
2019-05-17,384,385.4,387.4,376,5.97,0.47
2019-05-16,396.6,383.6,396.6,380.6,5.88,-2.14
2019-05-15,389.6,392,394,383.6,5.36,0.62
2019-05-14,400.2,389.6,402.4,389.2,7.68,-1.17
2019-05-13,407.4,394.2,408.4,390.8,5.29,-3.24
2019-05-10,410,407.4,420.8,407.4,5.46,-0.63
2019-05-09,415.6,410,419.2,408,4.97,-1.3
2019-05-08,428,415.4,433.6,414,7.44,-2.94
2019-05-07,448.6,428,448.6,428,7.16,-4.12
2019-05-06,434.8,446.4,447.8,434.2,5.76,0.63
2019-05-02,437.8,443.6,450.4,437.8,4.7,0.14
2019-04-30,450,443,450,435.6,6.6,-1.25
2019-04-29,445,448.6,450.4,444.6,8.84,1.45
2019-04-26,437,442.2,444.4,434.2,8.67,2.08
2019-04-25,443,433.2,443,430.2,5.59,-2.04
2019-04-24,443,442.2,443,439.2,11.03,-0.18
2019-04-23,444.8,443,444.8,442,10.13,0.23
2019-04-22,442,442,442,442,0,0
2019-04-19,442,442,442,442,0,0
2019-04-18,440.8,442,444.8,436.8,1.7,0.23
2019-04-17,445,441,455,438.8,8.27,-0.9
2019-04-16,443,445,450,440.6,3.12,0.45
2019-04-15,435,443,443,435,4.01,1.84
2019-04-12,440,435,440.6,434.8,2.82,-1.09
2019-04-11,444,439.8,444.4,437.4,3.43,-0.95
2019-04-10,434.4,444,444.6,434.4,6.67,2.54
2019-04-09,435,433,441,427.4,3.94,0.46
2019-04-08,430,431,431.6,427.8,3.32,0.23
2019-04-05,436.8,430,439,427,22.84,-1.83
2019-04-04,428.2,438,439.2,428.2,5.19,0.46
2019-04-03,429,436,436,429,4.03,1.96
2019-04-02,427,427.6,435,427,6.2,-0.09
2019-04-01,433.8,428,434.8,426.6,4.39,0.66
2019-03-29,432,425.2,432,425.2,8.34,-0.79
2019-03-28,430.2,428.6,435.2,428.6,2.81,-0.79
2019-03-27,438,432,438,429,6.92,-1.37
2019-03-26,438,438,441.6,434.6,6.7,0
2019-03-25,440,438,444.8,435,6.28,-0.95
2019-03-22,453.2,442.2,453.6,442.2,10.85,0
